Time,GPS_X1,GPS_Y1,GPS_X2,GPS_Y2,GPS_MIDX,GPS_MIDY,GPS_MID_Theta,DR_X,DR_Y,DR_Theta,DR_X_r,DR_Y_r,DR_Theta_r,Kalman_X,Kalman_Y,Kalman_Theta,Painting
1742504669.400544,19.30113968426994,63.86037436375145,32.37849532739574,118.20026378855218,25.83981750583284,91.03031907615181,1.3346288140889842,89.6826821868545,51.52714056174463,0.49823670398622055,29.600887815879815,97.74482441596243,0.4555199419783677,28.315820835261206,90.53463242639438,1.3438607540765297,0
1742504669.5010724,20.616284507965332,68.46087715497285,34.06410351507674,122.67297484019716,27.340194011521035,95.566925997585,1.3276449676816717,91.97748020382438,52.77791921161,0.5012256643700788,30.298590120517492,100.27123089277633,0.4555199419783677,28.945361062129106,93.07275570120662,1.3383046694722875,0
1742504669.6011927,20.616284507965332,68.46087715497285,34.06410351507674,122.67297484019716,27.340194011521035,95.566925997585,1.3276449676816717,94.18395441758817,53.98846543552408,0.5026051845472441,30.990639813039262,102.74511175832777,0.4555199419783677,29.640877449928396,95.33236287394845,1.333396118948148,0
1742504669.7012987,21.26459535545564,70.56234139929055,34.58275214568758,125.44179596524398,27.92367375057161,98.00206868226726,1.3327186672470643,96.38292076104837,55.19721526952305,0.5023752645177165,31.671380442882125,105.160297310731,0.4555199419783677,30.243577764203884,97.68265518751313,1.3330652851518032,0
1742504669.801431,22.116661013653527,75.03505243580193,35.84232750426963,129.78671524704535,28.97949425896158,102.41088384142364,1.3251688361588123,98.52356577535721,56.37294724735705,0.5019154244586613,32.34202027616486,107.53964947147955,0.4555199419783677,30.817551325734907,100.07841870027914,1.3325058692492822,0
1742504669.9015331,22.46860116995535,77.50569283012587,36.435068807677595,132.07276756636617,29.451834988816472,104.78923019824603,1.3202251234418918,100.73669880735227,57.58683727819258,0.5007658243110236,33.01357519997639,109.92647950716616,0.4555199419783677,31.33563966100448,102.2339705920446,1.3274236771865682,0
1742504670.00164,23.042819344648535,79.94793505673648,37.28713446587548,134.34462078669674,30.16497690526201,107.1462779217166,1.3146868505559546,102.95080677512914,58.79894824007887,0.5014555843996062,33.688975716865556,112.3354315313974,0.4555199419783677,31.81991522436063,104.52512916822178,1.3229411821517505,0
1742504670.1018598,23.042819344648535,79.94793505673648,37.28713446587548,134.34462078669674,30.16497690526201,107.1462779217166,1.3146868505559546,105.15047747907028,60.00641494984853,0.5039847047244094,34.37872310222943,114.79449273780176,0.4555199419783677,32.46787330561948,106.87985020220151,1.3191649682344326,0
1742504670.201965,24.246825159148244,84.33545159010784,38.45409402294564,138.80313275448503,31.350459591046942,111.56929217229643,1.315643011742667,107.32708748327659,61.20944753684307,0.5076634251968503,35.0472142220996,117.1589769704924,0.4555199419783677,33.091215194961315,109.07879034737924,1.3223408449231853,0
1742504670.3020668,24.598765315450066,86.77769381671844,39.0468353263536,141.13178232537587,31.822800320901834,113.95473807104716,1.310990293827867,109.51907662190254,62.43080324324221,0.5101925455216534,35.7443703252582,119.59271903675054,0.4555199419783677,33.677623982623906,111.35074195234247,1.3202834496394662,0
1742504670.4022048,25.080367688631355,89.14894060891213,39.54696082824967,143.4178346295631,32.31366425844051,116.2833876192376,1.3102818797742755,111.6626340542727,63.631981196641306,0.5129515858759841,36.43194188697014,121.96723328184012,0.4555199419783677,34.15379846081189,113.67224208243304,1.3161286718162433,0
1742504670.5023582,25.765724793551215,91.43499292823294,40.58425816844036,145.56189611031724,33.174991480995786,118.4984445192751,1.3035703683129856,113.815836150946,64.84639186996813,0.5157106262303148,37.12134657136697,124.32570444081367,0.4555199419783677,34.63088503952235,115.99891992720418,1.3142795072129438,0
1742504670.6025462,26.432558848725307,93.67844799598376,40.86210565194506,147.94734201663474,33.64733225033518,120.81289500630925,1.310919341143952,116.00423844749355,66.08930940383182,0.5189295066437007,37.825691003290764,126.71082889488144,0.4555199419783677,35.34618940695281,118.27691937945767,1.3098850870453282,0
1742504670.7026834,27.210531834126073,95.79411132415812,41.677124973744384,150.2759915572584,34.44382840393523,123.03505144070826,1.311255104337102,118.25371198242651,67.37544875782903,0.5207688668799213,38.561176127892864,129.17214557740894,0.4555199419783677,35.97832545668136,120.6052255388957,1.3120587228054879,0
1742504670.8029094,27.54394886171312,98.23635353563516,42.473621166828934,152.66143744844234,35.00878501427103,125.44889549203876,1.3030661195252353,120.47499407734894,68.65088090443203,0.5221483870570867,39.67518515842554,132.8647708368792,0.4555199419783677,36.93902116864738,123.18814184120329,1.3125625870819464,0
1742504670.903014,28.247829174316763,100.53660493881264,43.12193201431924,155.00428610318983,35.684880594318,127.77044552100122,1.3042148295599987,122.67515664198687,69.9182293355843,0.5246775073818899,40.41301613118978,135.29427548030097,0.4555199419783677,38.194355553850315,125.5372938780144,1.309952846669886,0
1742504671.0031526,28.85909368540851,103.04984256957303,43.67762698132864,157.24774117094066,36.26836033336858,130.14879187025684,1.3039040191417977,124.84003017632449,71.17223822454265,0.5269767076771655,41.145820179194104,137.6863904316548,0.4555199419783677,38.97670597252497,127.98492068969513,1.3087720836554124,0
1742504671.1032534,29.396265523703136,105.23650130189716,44.32593782881895,159.44859898712144,36.86110167626104,132.34255014450932,1.3020640963159529,127.02790181366194,72.4459532075311,0.5283562278543309,41.89262852636965,140.1053591069261,0.4555199419783677,39.643220612133625,130.43178916833875,1.3071512206565679,0
1742504671.204222,30.34094698341292,107.21017379150484,45.28914249621252,161.46486872829914,37.81504473981272,134.337521259902,1.3019477345551158,129.23254699696875,73.7352434036987,0.5318050282972443,42.650822452934044,142.54418496457416,0.4555199419783677,39.402682013629814,132.48309672262755,1.30605231207425,0
1742504671.3043637,30.692887139714742,109.79440684154855,46.04859235289851,163.90711095490974,38.370739746306626,136.85075889822915,1.2942926881423833,131.48407355046353,75.06233546853663,0.5343341486220475,43.04538867649393,143.80167055951324,0.4555199419783677,38.94167297864928,133.832899903414,1.3040805384001677,0
1742504671.4045005,31.230058978009367,112.05206099315603,46.863611674697836,166.20736234295364,39.0468353263536,139.12971166805485,1.289756928989543,133.7328392861058,76.39410175673449,0.5350239087106302,43.82850737265824,146.27950308426318,0.4555199419783677,40.374650532527504,136.2671440593033,1.300017159198147,0
1742504671.5046346,32.17474051668816,114.3807105337797,47.71567733289572,168.90518804871715,39.94520892479194,141.6429492912484,1.2931323921663638,135.96909482177827,77.71776685371442,0.532034948326772,44.61897497576923,148.77062944818877,0.4555199419783677,41.2662832867399,138.7866356550098,1.292663080933665,0
1742504671.6048322,33.17499152048029,116.66676285310052,48.271372299905124,170.92145778989484,40.72318191019271,143.7941103214977,1.2994109306474833,138.17152356844272,79.01083793176632,0.5281263078248034,45.393112019629456,151.22787166697043,0.4555199419783677,42.10314248742072,141.32165668859767,1.2899468474285383,0
1742504671.7049346,33.86034862540015,118.98121332500111,48.586266198777395,173.32110276493543,41.22330741208877,146.15115804496827,1.3061559733363848,140.35925414500568,80.28479368935287,0.5253672674704727,46.144101745642935,153.64554467615483,0.4555199419783677,42.873807751347385,143.6218595656247,1.293568622130985,0
1742504671.8050535,33.86034862540015,118.98121332500111,48.586266198777395,173.32110276493543,41.22330741208877,146.15115804496827,1.3061559733363848,142.62784085905136,81.59743812675957,0.5216885469980317,46.89659226464039,156.09392751879955,0.4555199419783677,43.51724026975342,145.96193378816832,1.2992989128534342,0
