Time,GPS_X1,GPS_Y1,GPS_X2,GPS_Y2,Encoder_X,Encoder_Y,Kalman_X,Kalman_Y,Rot_x,Rot_yTheta,gps_middle_x,gps_middle_y,gps_angle
1740342101.056361,5.679665112250586,-20.375483360859192,6.176637543423098,-5.908890142271872,0.0,0.0,5.623071326929022,-20.281531880167098,0.0,0.0,0.0,0,0,0
1740342101.156496,5.679665112250586,-20.375483360859192,6.88659588035599,-5.575473193653835,0.0,0.0,5.675565616898343,-20.368677778651797,0.0,0.0,0.0,0,0,0
1740342101.2571044,5.679665112250586,-20.375483360859192,6.900795063439014,-6.483108316965058,0.0,0.0,5.678721601041735,-20.37391703560603,0.0,0.0,0.0,0,0,0
1740342101.3572092,5.679665112250586,-20.375483360859192,6.8014008726598805,-6.538677861047404,0.0,0.0,5.678721601041735,-20.37391703560603,0.0,0.0,0.0,0,0,0
1740342101.4573195,7.0995814054469,-22.22780002284921,6.6168117195856535,-6.816525344552105,0.0,0.0,6.779316459712365,-21.809930692978078,0.0,0.0,0.0,0,0,0
1740342101.5574417,7.0995814054469,-22.22780002284921,7.525558392675796,-6.686863127672638,0.0,0.0,7.027470197220115,-22.13371210389569,0.0,0.0,0.0,0,0,0
1740342101.6576176,7.0995814054469,-22.22780002284921,7.127981705227623,-6.057075487866115,0.0,0.0,7.0833456477330765,-22.2066162333456,0.0,0.0,0.0,0,0,0
1740342101.7578442,7.0995814054469,-24.080116684839226,7.369367560366601,-6.31639984265604,0.0,0.0,7.095925952853682,-23.65830131874914,0.0,0.0,0.0,0,0,0
1740342101.857965,7.0995814054469,-24.080116684839226,7.440363384979686,-6.409015644167937,0.0,0.0,7.098758386772152,-23.98514570252317,0.0,0.0,0.0,0,0,0
1740342101.9580693,7.0995814054469,-24.080116684839226,8.093525065248844,-5.7236584602790685,0.0,0.0,7.099396104251789,-24.058734136588562,0.0,0.0,0.0,0,0,0
1740342102.058203,8.519497683509545,-24.080116684839226,8.292313386272422,-5.538426857255274,0.0,0.0,8.199764331406419,-24.075302442021282,0.0,0.0,0.0,0,0,0
1740342102.1583397,7.0995814054469,-24.080116684839226,9.399848410653487,-4.667837991373602,0.0,0.0,7.347285640112371,-24.079032766606563,0.0,0.0,0.0,0,0,0
1740342102.2584445,8.519497683509545,-24.080116684839226,9.158462570648181,-5.149440364554891,0.0,0.0,8.255576220792934,-24.079872642571413,0.0,0.0,0.0,0,0,0
1740342102.3585742,8.519497683509545,-24.080116684839226,8.675690890637572,-5.038301355359209,0.0,0.0,8.460076234229254,-24.080061739155422,0.0,0.0,0.0,0,0,0
1740342102.4587183,8.519497683509545,-25.932433346829242,8.846080890896118,-5.334671967578686,0.0,0.0,8.506119049584795,-25.515375164441732,0.0,0.0,0.0,0,0,0
1740342102.5589128,8.519497683509545,-25.932433346829242,8.803483402181737,-5.686612202849517,0.0,0.0,8.516485507807667,-25.838533436694686,0.0,0.0,0.0,0,0,0
1740342102.6593144,8.519497683509545,-25.932433346829242,9.541840075013331,-5.3717183039772465,0.0,0.0,8.518819497492197,-25.91129194858883,0.0,0.0,0.0,0,0,0
1740342102.7594142,8.519497683509545,-27.78475000881926,9.868420907581074,-5.390241511661031,0.0,0.0,8.519344991130465,-27.362944249034307,0.0,0.0,0.0,0,0,0
1740342102.8596315,8.519497683509545,-27.78475000881926,9.499242571165276,-5.038301355359209,0.0,0.0,8.519463305091188,-27.68978119005324,0.0,0.0,0.0,0,0,0
1740342102.959858,8.519497683509545,-27.78475000881926,10.02461173989027,-5.112394028156331,0.0,0.0,8.51948994326962,-27.76336794769612,0.0,0.0,0.0,0,0,0
1740342103.0599577,8.519497683509545,-27.78475000881926,10.124005900402059,-5.223533037352013,0.0,0.0,8.519495940808254,-27.779935875677307,0.0,0.0,0.0,0,0,0
1740342103.1600544,9.939413961572193,-29.637066670809276,9.939416732194159,-5.186486700953452,0.0,0.0,9.619721937344538,-29.218936965805725,0.0,0.0,0.0,0,0,0
1740342103.2601802,8.519497683509545,-29.637066670809276,10.407989244255418,-4.778977000569284,0.0,0.0,8.767211223072646,-29.542925509258005,0.0,0.0,0.0,0,0,0
1740342103.3602757,9.939413961572193,-29.637066670809276,9.72642924322123,-5.55694998597005,0.0,0.0,9.675494593836792,-29.615870955240233,0.0,0.0,0.0,0,0,0
1740342103.4604075,9.939413961572193,-29.637066670809276,9.769026747069285,-5.3717183039772465,0.0,0.0,9.879992983973205,-29.632294493038355,0.0,0.0,0.0,0,0,0
